"genes","X30.deg","X37.deg","P_Value","Fold_Expression_Change"
"YJL138C",1.00846963427883,15.4202090665669,0.0420929309831188,15.2907024092938
"YMR322C",0.0174798478330303,0.246366322271901,0.0237748812969639,14.0943058901441
"YDR218C",0.374195532105115,4.55826193124949,0.0120509776633336,12.1814974796894
"YNL318C",0.0174798478330303,0.191989757105281,0.0470180215586118,10.9834913289401
"YOR255W",0.0181146083737603,0.181822822940382,0.00800684748341854,10.0373587542615
"YPL280W",0,0.065362071896092,0.00234986290889145,10
"YGR259C",0,0.0954873594665755,0.0447478447710264,10
"YLL067C",0,0.040637697326547,0.0262747358800894,10
"YJL028W",0,0.0833222960610725,0.0137706097115389,10
"YPR050C",0,0.0268769239926177,0.0149003199946279,10
"YLR322W",0,0.0497972843780648,0.0172860973865659,10
"YOR333C",0,0.0614957674509801,0.0497401848018586,10
"YOR202W",23.5015225922983,221.151060064428,0.031245995291387,9.41007371738976
"YOR203W",6.91454503104406,40.1864812257809,0.0239002649823449,5.8118764206982
"YBR072W",11.9179490935026,63.4909095888091,0.0120591343215767,5.32733518919148
"YOR392W",0.0530743040398208,0.281528711703939,0.00571445344371934,5.30442587608332
"YLR013W",0.0517601510793655,0.273326776569367,0.020990307070961,5.28064101185227
"YFL011W",0.23911249637895,1.2328454997543,0.00315259738052589,5.15592249850657
"YOR214C",0.0503608811560745,0.24857681139108,0.0406271003811913,4.93591068473783
"YDL026W",0.0174798478330303,0.0850491569992045,0.0355585853874712,4.86555476979003
"YDR015C",0.202883279631429,0.980863806862361,5.53683202068311e-05,4.83462121000933
"YDL114W",0.30699785724705,1.47356276171644,0.00325572812594069,4.79991220437288
"YMR057C",0.280813190772959,1.28635322347277,0.00391121100836889,4.58081481119882
"YJR150C",0.44153954298563,1.99858898482659,0.00088640347780876,4.52640995937171
"YFR054C",0.309072372794912,1.35181776961881,0.0145956850452853,4.37379037600304
"YPL033C",0.616794254340682,2.48281050165875,0.00121045221505024,4.02534635202258
"YCL064C",31.4855747664416,122.285901722538,0.000547763187231949,3.88387071316464
"YOR338W",3.79482833002047,14.6941821686319,0.00633189385089793,3.87215992154054
"YLR458W",0.0685606064926705,0.265141362704789,0.0112135344647219,3.86725521065999
"YPL130W",0.202883279631429,0.781286251638338,0.010356350849382,3.85091493521632
"YNL332W",0.307042489126045,1.17064208011438,0.0036937703779191,3.81263871149056
"YJL037W",1.3331970001693,5.01606456703726,0.00464013664197408,3.76243313358812
"YJL089W",2.77267981546367,10.3926829221701,0.0104589157101418,3.74824487999245
"YPL021W",0.0517601510793655,0.190220295875774,0.0144679146628714,3.67503362932815
"SCER_lnc1253",0.544165586919969,1.98286321905187,0.0274288389891054,3.64386000642759
"YIL032C",0.134411936896749,0.48873702427292,0.0101736287657348,3.63611324675986
"YIR013C",0.290832162374475,1.04547654253394,0.00195197510927457,3.59477622419142
"YBL073W",0.0846411844024097,0.30394022581355,0.00244538060227189,3.59092595359402
"YPL187W",0.251934154622203,0.881683848830164,0.00674239431819,3.49965986212677
"YDR374C",0.272082793459985,0.947058283356774,0.000312402211202877,3.48077241972325
"YHR125W",0.272123278543825,0.932349157596496,0.00731596930391265,3.42620139881323
"YNL017C",0.0530296721608256,0.179625284248789,0.0362724317022305,3.38725994201946
"YPL240C",63.5402128237438,214.511430241924,0.00194834121926328,3.37599483396387
"YHR126C",0.17254543526646,0.580759320261306,0.0196420308162406,3.36583416051804
"YGR142W",7.42143764304222,24.5009792659199,0.00432038762807662,3.30137911876012
"YOR268C",0.119556248189475,0.394512874169782,0.0170706624321391,3.2998097560284
"YAL018C",0.168008700928205,0.544850178999827,0.0311811998326894,3.2429878690191
"YLR307W",0.962668687463246,3.04940490130579,0.0197102232693657,3.16765772172497
"YJR078W",2.61295272703202,8.24772144869001,0.00526119306558554,3.15647557009513
