"genes","Glucose","Ethanol","P_Value","Fold_Expression_Change"
"YDR258C",263.428109653748,577.561662069308,1.76896351857876e-12,2.19248303770034
"YNL217W",41.3806817649739,90.1062361872157,8.76501758034987e-14,2.17749520655517
"YJL153C",240.825366515421,524.213521814263,1.33948054471122e-08,2.17673714940945
"YOR313C",10.0237971163073,21.8006747129077,5.74490342860063e-07,2.17489185584583
"YJL171C",84.3456140486787,182.676147962745,1.4618363270798e-13,2.16580494460941
"YDL066W",146.225399652165,316.689716146899,1.92678040812151e-12,2.1657640662992
"YDR264C",161.311249556429,348.505644122916,1.58207583420255e-10,2.16045468050884
"YLR174W",608.078461766867,1313.45158649595,5.78435554349655e-11,2.16000346843319
"YJL107C",14.7917817968933,31.9306982411544,4.57765763660539e-09,2.158678290391
"YGL071W",43.2498085731303,93.1070699820798,1.32599319883005e-10,2.15277415215947
"YKL085W",654.671005787385,1409.32692274797,2.0866438608351e-10,2.15272543046709
"YLR304C",1172.54921550914,2510.36691106678,3.38445319427249e-15,2.14094801127536
"YBL111C",0.271789830796162,0.580132968573155,0.0413028886994473,2.13449107670347
"YNL289W",62.1590722341951,132.469913675974,1.04181183613715e-10,2.13114367564674
"YMR173W",340.575228889971,724.818884658975,3.74586451536653e-09,2.12821962131938
"YBL100C",25.4055238916692,53.7200615789008,7.82651843054786e-06,2.11450320048375
"YLR127C",45.5084740541843,95.9147532200565,5.87659652050083e-07,2.10762402417309
"YJR154W",34.8123480776994,73.2391125295275,1.63033516643749e-11,2.10382569903247
"YNR069C",29.1324977778622,61.1519587847606,1.22036912086507e-10,2.09909768983935
"YGL166W",4.81924514896389,10.0985371270708,6.90602088046796e-05,2.09546035010108
"YEL075C",0.226893439325075,0.474858981494582,0.0185457202144255,2.0928722439358
"YIL136W",439.885431475889,919.927780929215,5.42284173169212e-09,2.09128949290888
"YOR314W",2.3887289147613,4.99421630748668,5.14196225456687e-07,2.09074218368799
"YGL023C",44.0152741995013,91.8493983373971,1.00061615818272e-07,2.08676192544173
"YGR257C",44.8147592638276,93.4527853014354,5.9087480389178e-11,2.08531267012442
"YPR065W",108.219150684597,224.589876309538,3.94962226508393e-08,2.07532469889827
"YPL221W",133.116918862993,274.413491428246,3.70965944872813e-13,2.06144713814086
"YIL154C",32.0635598461299,65.9415308011172,3.87223197650815e-05,2.05658794960898
"YKR016W",90.238087880704,185.441378577337,1.64237076391405e-07,2.05502336023003
"YGL117W",66.3322213106919,136.260107891989,6.64435487206929e-09,2.05420691783807
"YMR062C",153.566224602178,314.981466149039,2.5067574084777e-14,2.05111160976326
"YKL177W",0.391560255253842,0.801701191129107,0.0110051648974505,2.04745292805414
"YOR222W",91.8490468831139,187.987671010133,5.29601244274886e-14,2.04670246877318
"YOR337W",32.0307836302519,65.4674254795227,2.55140375898129e-08,2.04389084685681
"YLR296W",1.5234050678275,3.09462542343694,0.000235086996945456,2.03138711350759
"YKR052C",28.001530133981,56.6298195762747,5.44186041590979e-09,2.02238303783093
"YLL059C",4.7053545489925,9.48583460374975,1.66102400922669e-08,2.01596596069064
"YNR001C",1337.24868868503,2693.88684127253,8.37470267342163e-12,2.01449951984738
"YOR083W",2.79540435732199,5.62111168986283,0.000375952016421442,2.01084028331697
"YPR156C",98.5545512062713,197.766690840201,1.11420678308708e-12,2.00667232938114
"YBR113W",1.10687517129306,2.21410573055578,0.00594319295283357,2.00032107321483
"YLR437C",15.0946074595557,7.53051979358982,3.3534823187859e-05,0.498888083957599
"YDR461W",204.987066076939,101.973408844334,1.43293529130097e-07,0.497462648721748
"YPL230W",102.352123948577,50.9046254750814,1.54147445746968e-11,0.497348013028597
"YOL059W",227.770461483083,112.82461200642,1.67270511584228e-11,0.495343475496272
"YAR020C",10.2916731009097,5.07866961550105,8.34305294019555e-07,0.493473662222339
"YLR284C",51.788861992868,25.5114962668491,2.31493839979466e-06,0.492605847766309
"YDL085W",266.818599965329,130.757529804161,2.62779308120838e-08,0.490061524275864
"YDR077W",9572.18592357804,4676.12348352412,3.30306119911813e-09,0.488511560562773
"YNL145W",203.225410361118,99.2242498006347,2.24912350488901e-15,0.48824726014488
"YMR107W",890.971085369403,434.368350582537,2.41900568928021e-05,0.487522387331397
"YDR374C",3.38288416932304,1.6423012875145,0.000346684232588433,0.485473697978594
"YMR122C",4.52438152128463,2.19377287200333,1.22457315470552e-05,0.484877957723698
"YDR248C",67.8242322747485,32.8397409681242,2.30909338811487e-08,0.484188908104319
"YKL153W",0.794043037999779,0.380278781076789,0.00579656978746747,0.47891457122365
"YCR004C",344.314858785547,163.767709082792,3.20144430659185e-09,0.475633580439795
"YJR116W",54.0277651905275,25.498262706585,2.02189752996798e-08,0.471947388841016
"YPL201C",68.1423256198904,31.977450544148,4.34455970506741e-08,0.469274423102665
"YOR317W",439.951789104356,205.555778969877,1.53270336302426e-07,0.467223418703088
"YOR032C",52.2500091516037,24.3530136385378,4.36281235011671e-11,0.4660863037914
"YKR009C",143.627398815936,66.9115350472682,5.31386137001499e-08,0.465868877379154
"YCR102C",4.47094270433778,2.08015169930445,0.000788958168817186,0.465260200558207
"YIL117C",154.73016071455,71.9739411198976,1.05943773225023e-13,0.46515779979494
"YDR111C",107.100409668597,49.467946084087,1.82952966410159e-08,0.461883817598426
"YNL009W",55.1292160912611,25.3382316310409,3.44756697096595e-06,0.459615307953879
"YDL050C",0.40825139842954,0.185839694965747,0.0130799311374382,0.455208961146574
"YIL029C",18.9801785586355,8.60305737971057,2.38607146648111e-10,0.453265355388156
"YDR218C",20.8238094011634,9.39922407752512,6.68488607092847e-06,0.451369098537754
"YBR085W",1.89467343478786,0.84812150792558,0.00165668324153796,0.447634664820506
"YMR291W",51.8971670935265,23.2160866939949,7.21415037778475e-07,0.447347861052917
"YBL075C",913.819034978435,407.439069168038,1.19193952312134e-11,0.445864064516508
"YMR056C",266.554996773776,118.495843007272,4.85508379330079e-11,0.444545570113018
"YCR013C",7.00689008028862,3.11448026960028,4.21073168315777e-06,0.444488244272842
"YMR315W",454.959084889276,200.10543863398,3.21626577326651e-10,0.439831723950913
"YLR445W",1.79706585302158,0.786463604612619,8.51611079338604e-05,0.437637609823959
"YJL216C",12.2056560945452,5.31501169329821,2.90735895415233e-10,0.435454813090591
"YJL135W",0.906799273946191,0.393808318627806,0.00229629722431716,0.434283892745126
"YJL037W",20.8362553436339,9.02699675669079,2.35019103324109e-07,0.433235080287534
"YMR169C",522.408955862321,223.99423991325,3.65058830787684e-16,0.428771822151309
"YPR078C",65.5035935467298,27.6875608650533,4.56860418445612e-11,0.422687662857782
"YCR018C",33.3501685210126,14.0695480978002,5.16127036787902e-10,0.421873373411458
"YHR126C",7.31842848233279,3.07954559262106,0.0242313020155118,0.420793289167928
"YIL111W",30.9417979393609,12.9820080593321,2.46267747602343e-07,0.419562175565039
"SCER_lnc0041",0.56724336516361,0.237636160229606,0.0062619134036211,0.418931581793054
"YLR438W",77.1977962159087,32.2511067496028,9.84996120862599e-08,0.417772376032628
"YGR052W",73.521672806602,30.4943936570687,2.38903677284396e-10,0.414767407935397
"YLR462W",0.430210942237408,0.178098870105137,0.0380527360178962,0.413980335272027
"YER096W",60.3197869939846,24.9382468138634,1.48530970911133e-10,0.41343393365017
"YJL217W",172.459668224749,70.1135318364237,4.99593090078066e-14,0.406550311491101
"YDR133C",733.205358544188,296.526611987662,1.15264247349889e-09,0.404425047542518
"YNL012W",82.7731476931333,32.6012279561557,3.69888798740575e-07,0.393862367987006
"YFR053C",3061.05067899848,1196.86583317504,1.63449743630666e-12,0.390998372351886
"YEL041W",95.1434043020594,37.1658217892083,4.02991639599823e-07,0.390629514067155
"YAL064W",0.622744229206368,0.238224968586609,0.029866254760864,0.382540628100569
"YPL200W",15.2165563150878,5.75372685565668,1.60218245597317e-07,0.378122798385837
"YOR134W",54.6778010214179,20.6737830475618,2.291106331966e-09,0.378101947433176
"YAR073W",0.689491153590601,0.26056505029162,0.00556266336680977,0.377909200045133
"YBR285W",75.4152018325957,28.335022775678,2.62532524107456e-13,0.375720306876261
"YIL066C",28.2613661654134,10.5934951027588,3.85841888690625e-07,0.374840163095981
"YDR523C",5.17608650124555,1.92806833607813,0.000169532876572261,0.372495385387043
"YMR319C",26.841512822212,9.96500127708552,4.52943827744182e-08,0.371253339671646
"YNL202W",32.3790360841132,11.9939892783303,9.12361263417954e-09,0.370424531699236
"YDR278C",0.474215064879293,0.175312968742767,0.02938992979014,0.369690846467291
"YOL101C",57.9169612833848,21.3961860049171,6.57514700482961e-09,0.369428670475763
"YJL026W",552.727912859485,203.760766825052,6.62553700621199e-11,0.368645697248969
"YFL011W",5.44713227538297,2.00330499956493,4.34088173755014e-07,0.367772416436148
"YEL039C",13.2901423566326,4.87121273199804,6.01446914284029e-10,0.366528258410039
"YLR164W",312.943570989977,114.532852278347,5.16111044463354e-11,0.365985637334008
"YAL054C",1670.84590557181,608.552827301701,9.53135745632353e-14,0.364218402949276
"YKR075C",62.8778760046637,22.7735629464197,3.95651405061292e-08,0.362187217404267
"YIL160C",98.3149622286618,35.5837495360746,1.64998205636997e-11,0.361936258016492
"YHR174W",3186.79458847686,1148.8599321712,1.22757478911706e-11,0.360506427469585
"YPL121C",0.695677945550469,0.246439760722717,0.0429734432847985,0.354244032456307
"YGR236C",101.299583699045,35.8351232755802,4.95420782259837e-11,0.353753904675899
"YPL092W",302.788247448935,106.822720266888,5.4937487658018e-09,0.352796785102776
"YOR393W",0.514579381313478,0.18144894029569,0.01579189791347,0.352616033375719
"YPR001W",199.915372962286,70.3439333232675,8.06418513608014e-07,0.351868554583533
"YDR345C",102.438799618889,35.7138507571085,1.04976300046006e-08,0.34863597474763
"YBR157C",96.4352716448515,33.324395619371,5.58259986858047e-09,0.345562313985042
"YNR002C",396.868108603547,137.032222198502,9.07468402777702e-13,0.345284035748488
"YER121W",51.3754600135245,17.6967277108691,9.38418947015437e-07,0.344458768957212
"YHR163W",224.083168271955,75.5939070731573,8.96900180287807e-10,0.337347546699331
"YHR092C",56.3335110119346,18.7795950100325,3.52906763197141e-12,0.333364540442969
"YDR256C",210.513067026702,68.0636501257875,7.37265363366985e-11,0.323322685318884
"YMR118C",264.775851907964,84.5699302595506,6.33330137342612e-10,0.319401975860499
"YDL024C",19.2875835478884,6.03510000474113,9.55536922170492e-08,0.312900783540707
"YOR388C",3.65767381076363,1.09459004393876,0.00148288264050225,0.299258518000608
"YGL033W",4.02311636449454,1.18621584186912,3.75435055129736e-08,0.294849995475623
"YKL221W",30.7279428123398,9.0483800640775,7.20611980486472e-09,0.294467485810467
"YER150W",226.282643882489,65.342434054761,2.77187893281146e-09,0.288764674716696
"YCR104W",0.120278235209183,0.0346144099100827,0.0471818525791562,0.287786147259999
"YNR073C",8.00093108843655,2.24374293641501,2.30521142798008e-08,0.280435228302092
"YEL070W",13.2292373802497,3.70309840962273,1.46350214194405e-10,0.279917753622835
"YPL147W",126.889244086975,34.9657329844917,1.06821848768803e-07,0.275561047243096
"YDL186W",15.7481549988086,4.25669692886736,6.04798115141715e-07,0.270298135190401
"YPL187W",22.9974698426833,6.12973649364377,3.05373484875354e-06,0.266539603511817
"YGR087C",387.387716028535,98.6772895104977,2.0899805833184e-11,0.254724880081714
"YHR183W",625.097181138825,151.586905843752,5.14208533760192e-11,0.242501342859338
"YHR139C",484.007693582653,117.24336125611,1.61796376427438e-14,0.242234499183821
"YER084W",7.49756842749628,1.80991515704451,7.44879643379707e-08,0.2414002852454
"YER054C",78.4560078503887,18.6609229100686,3.8059715064474e-11,0.237852057750045
"YFL053W",33.604024457744,7.94278818330696,1.3821900248953e-08,0.236364194809308
"YKL096W",52.5061897620804,12.368236732095,1.69086536822304e-14,0.235557689257948
"YAR075W",0.195172884210199,0.0443032505530632,0.0365598058639195,0.226994906246039
"YMR006C",309.776651283637,66.2791896300187,1.29805720593932e-10,0.213957989911035
"YFL054C",130.091185462421,27.4172750599443,1.03862130408315e-14,0.210754287175469
"YJR115W",21.2910385707077,4.28619601831384,4.86504815971903e-07,0.2013145579573
"YIL162W",544.477121850715,106.450070074868,7.91974107561133e-10,0.195508802487489
"YGL205W",113.555100506752,21.5417052153642,2.69490015308784e-10,0.189702665219193
"YOL104C",4.74826333948829,0.768065104589886,0.000189795062029628,0.161757057196549
"YJR047C",1.29692284766092,0.204747225573378,0.000322064401015539,0.157871554150389
"YOR255W",0.525768161276083,0.0786187469754624,0.00475878941797544,0.149531205512042
"YKL187C",208.915314631563,27.0276557014419,2.42273578382508e-08,0.129371347184897
"YOR374W",5016.82576525951,577.565426263596,8.22681829349738e-11,0.115125669753795
"YHR137W",57.1644633041783,6.48773718995576,5.17842252572763e-07,0.113492488426486
"YMR303C",7157.70436763121,710.625062768884,2.92504695895858e-11,0.099281141867565
"YDL218W",496.233792859127,45.4589321826343,6.40595922325968e-12,0.0916078929665707
"YBR067C",3259.91554539525,264.783103596285,2.14165393576601e-10,0.0812239151318815
"YDR384C",1176.56872162603,92.5857584618447,2.93105962377256e-12,0.0786913307825235
"YIL057C",536.624509205421,39.7324288218052,2.8125426073482e-10,0.0740413979239169
"YCR010C",1360.28935009474,93.302250538516,1.45857583935339e-07,0.0685900029519586
"YMR011W",657.395041123822,29.1231837372993,7.46550836917549e-11,0.0443008874656447
"YDR342C",303.401605836258,9.02762115541308,4.30208558838402e-09,0.0297546914115055
